Antonine Plague model,Cyprianic Plague model,Size of Christian subpopulation (individuals),Total Christians (compared to total population; percent),Size of Chistian subpopulation without conversion (individuals),Total Christians without conversion (compared to total population; percent),Christian subpopulation ratio increase (compared to modeled baseline without conversion; percent points),Christian subpopulation increase (compared to modeled baseline without conversion; percent)
Smallpox,Smallpox,32452,21.565089709651318,32452,21.5650859792612,3.7303901159191355e-06,-7.609037244726835e-06
Smallpox,Measles,45789,2.1951449360581203,45790,2.1951860823105496,-4.1146252429236085e-05,-0.0011165044319971784
Smallpox,Crimean–Congo hemorrhagic fever,54537,1.469836225488635,54537,1.4698359110854033,3.1440323167153394e-07,-6.99438358342519e-06
Smallpox,Ebola virus disease,39656,6.145455636565089,39659,6.1456591333576975,-0.00020349679260878162,-0.008413427149767116
Smallpox,Lassa fever,56215,1.3850652579648772,56215,1.3850649775877097,2.803771674830813e-07,-6.865607460326828e-06
Measles,Smallpox,46617,2.089109483460983,46565,2.0943298238640415,-0.005220340403058632,0.1114333487541086
Measles,Measles,65812,0.1729035936105018,65812,0.17290365165288393,-5.804238212281376e-08,4.235654063045047e-05
Measles,Crimean–Congo hemorrhagic fever,78345,0.11538438843211442,78346,0.11538425169435329,1.367377611277698e-07,-6.86469052713079e-05
Measles,Ebola virus disease,56888,0.5152349976416291,56876,0.5153749566133214,-0.0001399589716923888,0.022221275090505976
Measles,Lassa fever,80789,0.10826808942711104,80789,0.10826797637046184,1.1305664919525338e-07,-6.783841237645305e-05
